flight_id,origin,destination,seats_total,seats_sold,avg_price,revenue,passenger_id,gender,age,country,frequent_flyer,tier,booking_id,passenger_id,flight_id,price,class,status,cancel_id,booking_id,reason,refund,passenger_id,points,flights_count,booking_date,Departure_Time,cancellation_date,season
0,TLV,ROM,193,193,342,66006,0,M,44,USA,0,,0,88,3948,879,Business,Completed,0,20958,Weather,314,0,89894,7,09/12/2025,14:20:00,,Winter
1,TLV,ROM,300,233,369,85977,1,F,36,France,1,Silver,1,5619,3240,1244,Business,Completed,1,2302,Security,558,1,88045,5,14/07/2025,21:34:00,,Summer
2,TLV,PAR,283,175,501,87675,2,F,48,USA,0,,2,5288,1665,902,Business,Completed,2,22078,Weather,297,2,2346,28,22/04/2025,18:50:00,,Spring
3,TLV,NYC,284,120,1172,140640,3,F,47,Israel,0,,3,3866,1063,504,Business,Completed,3,20562,Weather,858,3,6418,36,10/06/2024,18:15:00,,Summer
4,TLV,NYC,169,126,1244,156744,4,F,23,USA,0,,4,7581,3318,844,Economy,Completed,4,26729,Security,321,4,67876,5,10/06/2024,17:24:00,,Summer
5,TLV,LON,240,240,608,145920,5,M,68,USA,0,,5,7735,3044,419,Business,Completed,5,13781,Weather,627,5,13426,18,19/03/2024,02:01:00,,Spring
6,TLV,IST,168,168,232,38976,6,F,47,Israel,1,Silver,6,7838,2063,1319,Business,Completed,6,18225,Security,353,6,15899,36,03/10/2025,07:46:00,,Autumn
7,TLV,PAR,250,170,451,76670,7,M,27,USA,1,,7,5875,1715,1435,Economy,Cancelled,7,4688,Weather,454,7,10559,1,23/04/2025,20:38:00,,Spring
8,TLV,PAR,187,80,512,40960,8,F,35,France,1,Gold,8,6597,3558,372,Business,Completed,8,2693,Customer,390,8,68502,2,03/07/2025,05:30:00,,Summer
9,TLV,NYC,267,150,1277,191550,9,F,53,Israel,0,,9,1798,1777,125,Business,Completed,9,11848,Security,991,9,35473,9,28/01/2024,01:27:00,,Winter
10,TLV,NYC,229,229,1216,278464,10,F,19,France,0,,10,4138,337,1409,Business,Completed,10,7843,Technical,733,10,56701,23,18/12/2025,23:16:00,,Winter
11,TLV,DXB,210,167,302,50434,11,F,47,France,0,,11,5397,101,1310,Economy,Completed,11,22142,Security,207,11,51990,40,28/08/2025,18:43:00,,Summer
12,TLV,PAR,224,185,591,109335,12,M,69,USA,0,,12,4279,1842,1023,Business,Completed,12,3790,Technical,89,12,35100,12,05/07/2024,14:31:00,,Summer
13,TLV,PAR,185,182,573,104286,13,M,18,France,0,,13,6904,2845,288,Business,Completed,13,15989,Technical,181,13,16214,24,21/06/2024,02:10:00,,Summer
14,TLV,LON,205,83,509,42247,14,M,42,USA,0,,14,4829,2597,1279,Business,Completed,14,21463,Customer,102,14,3106,30,22/06/2024,22:12:00,,Summer
15,TLV,ROM,264,118,368,43424,15,F,57,Israel,0,,15,7524,2645,1481,Economy,Cancelled,15,24646,Security,307,15,72042,18,15/08/2024,12:49:00,,Summer
16,TLV,NYC,214,117,1227,143559,16,M,52,USA,0,,16,5406,3646,1089,Economy,Cancelled,16,5825,Weather,927,16,28813,37,02/02/2025,05:43:00,,Winter
17,TLV,IST,281,142,226,32092,17,M,47,USA,0,,17,7599,197,312,Economy,Completed,17,5381,Customer,794,17,32800,16,01/12/2024,23:57:00,,Winter
18,TLV,LON,214,119,591,70329,18,M,47,USA,0,,18,1636,2686,829,Business,Completed,18,15999,Customer,368,18,83505,11,09/08/2024,13:25:00,,Summer
19,TLV,NYC,297,128,1168,149504,19,F,23,France,0,,19,4170,2997,778,Economy,Completed,19,13101,Customer,815,19,43417,20,30/04/2025,06:25:00,,Spring
20,TLV,NYC,287,129,1214,156606,20,F,24,USA,0,,20,2081,2575,130,Economy,Cancelled,20,21969,Customer,378,20,73197,9,02/06/2024,20:15:00,,Summer
21,TLV,NYC,182,121,1161,140481,21,F,75,Israel,1,,21,5044,1752,1205,Business,Completed,21,18922,Customer,695,21,84744,19,10/08/2024,15:55:00,,Summer
22,TLV,DXB,262,222,344,76368,22,M,40,Israel,0,,22,6312,2215,142,Economy,Completed,22,28091,Customer,897,22,91888,13,03/10/2024,04:36:00,,Autumn
23,TLV,PAR,186,88,521,45848,23,M,20,UK,0,,23,5472,2485,754,Business,Completed,23,6095,Technical,934,23,42937,15,12/12/2024,19:44:00,,Winter
24,TLV,DXB,287,212,330,69960,24,M,41,UK,0,,24,6184,411,693,Business,Completed,24,21429,Customer,357,24,43180,27,07/08/2025,07:39:00,,Summer
25,TLV,BKK,234,96,901,86496,25,F,58,UK,0,,25,5794,3547,1333,Business,Cancelled,25,1286,Weather,179,25,37516,7,29/06/2024,22:17:00,,Summer
26,TLV,DXB,224,174,397,69078,26,M,25,Israel,0,,26,317,892,1155,Economy,Completed,26,13693,Customer,786,26,27209,2,19/01/2025,00:21:00,,Winter
27,TLV,LON,258,154,491,75614,27,F,64,France,0,,27,3933,3462,585,Business,Completed,27,21180,Weather,318,27,8845,39,17/04/2025,04:12:00,,Spring
28,TLV,DXB,280,280,376,105280,28,F,69,UK,1,Platinum,28,6669,3168,508,Economy,Completed,28,23783,Customer,542,28,26264,27,03/03/2024,12:27:00,,Spring
